year,month,day,hour,minutes,lat,lon,depth,mb,ms
2012,10,21,6,55,36.303,120.8938,10.8,5.2,n.a
2012,10,29,4,25,36.5784,121.1928,10.0,3.8,n.a
2013,1,24,23,25,38.6309,119.6143,10.0,3.4,n.a
2013,2,13,0,10,38.0199,117.9878,10.0,4.8,n.a
2013,2,28,15,29,38.0655,118.0259,3.7,3.4,n.a
2013,3,1,21,55,35.8226,116.7891,10.0,3.3,n.a
2013,3,11,16,56,33.4826,116.4524,10.2,4.8,n.a
2013,3,14,9,9,38.7701,122.8444,10.0,4.1,n.a
2013,3,29,1,22,35.6878,121.0821,10.0,3.8,n.a
2013,5,15,20,0,33.6527,118.3663,7.3,3.8,n.a
2013,5,24,3,47,40.1253,121.1529,7.4,5.5,n.a
2013,5,24,8,2,40.1702,121.1489,2.5,4.7,n.a
2013,5,24,9,52,40.1824,121.0642,10.0,3.6,n.a
2013,5,29,14,38,34.4081,119.7972,19.7,4.9,n.a
2013,8,4,5,30,36.1351,118.057,10.0,3.9,n.a
